"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
36,"&#x1F7E3;","Wageningen",0,0,"&#x2798;"
30,"&#x26a1;","Wassenaar",0,1,"&#x279A;"
28,"&#x26a1;","Waterland",0,2,"&#x279A;"
66,"&#x26a1;","Weert",2,7,"&#x279A;"
29,"&#x26a1;","Weesp",1,2,"&#x279A;"
70,"&#x26a1;","West Betuwe",0,3,"&#x2798;"
38,"&#x26a1;","West Maas en Waal",0,3,"&#x279A;"
63,"&#x26a1;","Westerkwartier",0,3,"&#x2798;"
13,"&#x1F7E3;","Westerveld",0,0,"&#x2798;"
13,"&#x26a1;","Westervoort",0,1,"-"
65,"&#x26a1;","Westerwolde",0,1,"&#x2798;"
154,"&#x26a1;","Westland",0,7,"-"
39,"&#x1F7E3;","Weststellingwerf",0,0,"&#x2798;"
32,"&#x26a1;","Westvoorne",0,2,"&#x2798;"
34,"&#x26a1;","Wierden",0,1,"&#x2798;"
61,"&#x26a1;","Wijchen",1,5,"&#x2798;"
30,"&#x26a1;","Wijdemeren",0,1,"&#x2798;"
31,"&#9989;","Wijk bij Duurstede",0,0,"-"
30,"&#x26a1;","Winterswijk",0,2,"-"
38,"&#x26a1;","Woensdrecht",1,2,"&#x279A;"
83,"&#x26a1;","Woerden",2,5,"&#x279A;"
36,"&#x26a1;","Wormerland",0,0,"&#x2798;"
16,"&#x26a1;","Woudenberg",0,0,"&#x2798;"
266,"&#x26a1;","Zaanstad",2,5,"&#x2798;"
54,"&#x26a1;","Zaltbommel",0,0,"&#x2798;"
18,"&#x26a1;","Zandvoort",0,0,"&#x2798;"
28,"&#x26a1;","Zeewolde",0,1,"-"
52,"&#128721;","Zeist",0,1,"-"
63,"&#x26a1;","Zevenaar",0,1,"&#x2798;"
204,"&#x26a1;","Zoetermeer",0,8,"&#x2798;"
8,"&#9989;","Zoeterwoude",0,0,"-"
119,"&#x26a1;","Zuidplas",2,7,"&#x279A;"
21,"&#x26a1;","Zundert",0,0,"&#x2798;"
41,"&#x26a1;","Zutphen",1,4,"&#x279A;"
29,"&#x26a1;","Zwartewaterland",0,2,"-"
143,"&#x26a1;","Zwijndrecht",2,5,"-"
113,"&#x26a1;","Zwolle",1,4,"-"
