"","LeeftijdOp31December","Week","2001","2002","2003","2004","2005","2006","2013","2014","2015","2016","2017","2018","2019","2020","Average20152019","Average20132017","Average20012005","excess_death","excess_flu","excess_heatwave"
"57","0 tot 65","22",495.152796285472,495.837166473317,497.523415923544,503.292745892411,468.938902561316,455.366469312401,448.915453919427,405.027658351584,436.801992450753,393.402595342444,379.523371431966,418.180021644003,388.298601841517,366,403.241316542137,412.734214299235,492.149005427212,-37,5.44580734476841,-36.7825361148111
"58","0 tot 65","23",481.962250482785,508.938555018344,552.692343092485,466.271211900325,479.937469572349,492.396270113629,435.859747205886,406.035189840021,401.494672044803,381.297900101139,420.797796441808,401.090934221051,418.399268650937,385,404.616114291947,409.097061126731,497.960366013257,-20,-8.00612690568022,-5.56409589962868
"59","0 tot 65","24",516.460601043658,472.657786739808,462.415916816036,503.292745892411,495.935385224761,499.40190810305,415.77404456967,386.892091559722,366.187351638853,439.803927100784,402.677317169195,373.949442431657,369.234846195551,407,390.370576907208,402.266946407645,490.152487143335,17,-28.3175039759881,9.24942095971574
"60","0 tot 65","25",515.44594367422,531.110135633004,500.532630132759,433.252005907384,506.933952235794,461.371301874762,455.945449842102,400.997532397837,387.371743882423,415.594536618172,417.777716563039,363.897038065214,366.224779514609,374,390.173162928692,415.537395860715,497.454933516632,-16,-51.6403577955004,-36.0836316418701
"61","0 tot 65","26",490.079509438284,555.297314485361,552.692343092485,500.290999893053,458.940205278559,474.381772426545,408.744048646995,380.846902629102,406.538574959939,408.533464394077,437.911582421499,385.007087234743,412.379135289053,381,410.073968859862,408.514914610322,511.460074437548,-29,-23.5078273755789,-37.0783020110035
"62","0 tot 65","27",472.830334157848,501.883961186406,471.443559443681,478.278195897758,480.937339300625,501.403518957171,433.851176942265,451.374106819676,458.99516527735,410.550913600961,403.684010462118,408.127617277561,386.291890720889,402,413.529919467776,431.691074620474,481.074677997264,-12,-23.5634573429131,20.3288409599073
"63","0 tot 65","28",453.551844138536,507.930755899495,495.5172731174,498.28983589348,464.939423648213,493.397075540689,408.744048646995,454.396701284986,402.50345262783,391.38514613556,399.657237290426,410.138098150849,403.348935246227,386,401.406573890178,411.337317197159,484.045826539425,-15,-1.19921904631013,9.35124900126391
"64","0 tot 65","29",479.93293574391,513.977550612585,510.563344163475,491.285761894978,442.942289626147,495.398686394809,439.876887733129,615.601739434871,458.99516527735,431.734130273247,399.657237290426,393.049010727897,403.348935246227,369,417.356895763029,469.173032001805,487.740376408219,-48,-76.1240212739073,7.65830998659061
"65","0 tot 65","30",526.607174738032,517.000947969129,486.489630489755,478.278195897758,455.940596093732,487.392242978328,437.868317469508,419.133099189699,423.6878448714,400.46366756654,386.570224482427,407.122376840917,434.452957615961,407,410.459414275449,413.544630715915,492.863309037681,-3,-6.42225387499815,-5.47106605935357
"66","0 tot 65","31",509.357999457596,497.852764711013,497.523415923544,508.295655891341,478.937599844073,419.337473938233,405.731193251562,416.110504724389,398.468330295721,419.629435031941,388.583611068273,404.106655530984,380.271757359005,368,398.211957857185,405.704614874377,498.393487165513,-30,-1.59795934339337,-79.0560132272808
"67","0 tot 65","32",514.431286304783,477.696782334049,519.59098679112,530.308459886636,436.943071256493,443.356804187678,417.782614833292,417.118036212826,408.556136125993,423.66433344571,418.784409855962,426.221945137157,372.244912876493,416,409.894347488263,417.181106094756,495.794117314616,6,9.04083904240065,-52.4373131269382
"68","0 tot 65","33",527.62183210747,534.133532989549,538.649343449482,491.285761894978,494.935515496485,477.384188707726,407.739763515184,398.982469420964,391.406866214531,414.58581201473,406.704090340887,406.117136404272,361.208001713039,457,396.004381337492,403.883800301259,517.325197187592,61,2.23333610301324,-39.941008479867
"69","0 tot 65","34",503.270055240971,489.790371760228,484.483487683612,473.275285898828,495.935385224761,491.395464686569,419.791185096913,395.959874955653,370.222473970961,417.611985825056,386.570224482427,376.965163741589,374.251623997121,401,385.124294403431,398.031148866202,489.35091716168,16,-21.0659851246128,2.04454752488874
