"Leeftijd","Aanwezig","Datum","Type"
"70 - 74",196,"2020-11-27","Klinisch"
"75 - 79",241,"2020-11-27","Klinisch"
"80 - 84",196,"2020-11-27","Klinisch"
"85 - 89",146,"2020-11-27","Klinisch"
">90",55,"2020-11-27","Klinisch"
"<20",38,"2020-11-28","Klinisch"
"20 - 24",7,"2020-11-28","Klinisch"
"25 - 29",7,"2020-11-28","Klinisch"
"30 - 34",14,"2020-11-28","Klinisch"
"35 - 39",27,"2020-11-28","Klinisch"
"40 - 44",29,"2020-11-28","Klinisch"
"45 - 49",55,"2020-11-28","Klinisch"
"50 - 54",89,"2020-11-28","Klinisch"
"55 - 59",127,"2020-11-28","Klinisch"
"60 - 64",139,"2020-11-28","Klinisch"
"65 - 69",166,"2020-11-28","Klinisch"
"70 - 74",184,"2020-11-28","Klinisch"
"75 - 79",242,"2020-11-28","Klinisch"
"80 - 84",189,"2020-11-28","Klinisch"
"85 - 89",143,"2020-11-28","Klinisch"
">90",48,"2020-11-28","Klinisch"
"<20",35,"2020-11-29","Klinisch"
"20 - 24",7,"2020-11-29","Klinisch"
"25 - 29",7,"2020-11-29","Klinisch"
"30 - 34",10,"2020-11-29","Klinisch"
"35 - 39",24,"2020-11-29","Klinisch"
"40 - 44",30,"2020-11-29","Klinisch"
"45 - 49",52,"2020-11-29","Klinisch"
"50 - 54",86,"2020-11-29","Klinisch"
"55 - 59",123,"2020-11-29","Klinisch"
"60 - 64",131,"2020-11-29","Klinisch"
"65 - 69",157,"2020-11-29","Klinisch"
"70 - 74",183,"2020-11-29","Klinisch"
"75 - 79",233,"2020-11-29","Klinisch"
"80 - 84",192,"2020-11-29","Klinisch"
"85 - 89",144,"2020-11-29","Klinisch"
">90",49,"2020-11-29","Klinisch"
"<20",42,"2020-11-30","Klinisch"
"20 - 24",6,"2020-11-30","Klinisch"
"25 - 29",7,"2020-11-30","Klinisch"
"30 - 34",8,"2020-11-30","Klinisch"
"35 - 39",23,"2020-11-30","Klinisch"
"40 - 44",30,"2020-11-30","Klinisch"
"45 - 49",54,"2020-11-30","Klinisch"
"50 - 54",91,"2020-11-30","Klinisch"
"55 - 59",123,"2020-11-30","Klinisch"
"60 - 64",125,"2020-11-30","Klinisch"
"65 - 69",168,"2020-11-30","Klinisch"
"70 - 74",188,"2020-11-30","Klinisch"
"75 - 79",234,"2020-11-30","Klinisch"
"80 - 84",198,"2020-11-30","Klinisch"
"85 - 89",144,"2020-11-30","Klinisch"
">90",53,"2020-11-30","Klinisch"
"<20",35,"2020-12-01","Klinisch"
"20 - 24",6,"2020-12-01","Klinisch"
"25 - 29",10,"2020-12-01","Klinisch"
"30 - 34",11,"2020-12-01","Klinisch"
"35 - 39",23,"2020-12-01","Klinisch"
"40 - 44",27,"2020-12-01","Klinisch"
"45 - 49",57,"2020-12-01","Klinisch"
"50 - 54",87,"2020-12-01","Klinisch"
"55 - 59",127,"2020-12-01","Klinisch"
"60 - 64",123,"2020-12-01","Klinisch"
"65 - 69",157,"2020-12-01","Klinisch"
"70 - 74",183,"2020-12-01","Klinisch"
"75 - 79",225,"2020-12-01","Klinisch"
"80 - 84",181,"2020-12-01","Klinisch"
"85 - 89",136,"2020-12-01","Klinisch"
">90",54,"2020-12-01","Klinisch"
"<20",41,"2020-12-02","Klinisch"
"20 - 24",5,"2020-12-02","Klinisch"
"25 - 29",10,"2020-12-02","Klinisch"
"30 - 34",12,"2020-12-02","Klinisch"
