"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal","Type"
"2020-04-28",0,0,0,0,0,0,0,0,1,1,6,6,0,1,0,0,15,"IC"
"2020-04-29",0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,6,"IC"
"2020-04-30",0,0,0,0,0,0,0,0,2,2,1,0,-1,0,0,0,4,"IC"
"2020-05-01",0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,7,"IC"
"2020-05-02",0,0,0,0,0,0,0,0,0,2,0,2,-1,0,0,0,3,"IC"
"2020-05-03",0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,6,"IC"
"2020-05-04",0,0,0,0,0,0,0,0,-1,0,1,4,1,0,0,0,5,"IC"
"2020-05-05",0,0,0,0,0,0,0,1,1,0,2,1,2,0,0,0,7,"IC"
"2020-05-06",0,0,0,0,0,0,1,-1,1,-1,0,2,1,0,0,0,3,"IC"
"2020-05-07",0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,6,"IC"
"2020-05-08",0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,6,"IC"
"2020-05-09",0,0,0,0,1,0,0,-1,3,1,1,1,1,0,0,0,7,"IC"
"2020-05-10",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,"IC"
"2020-05-11",0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,6,"IC"
"2020-05-12",0,0,0,0,0,0,0,1,0,2,3,3,0,1,0,0,10,"IC"
"2020-05-13",0,0,0,0,0,0,0,0,0,3,0,1,-1,0,0,0,3,"IC"
"2020-05-14",0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,5,"IC"
"2020-05-15",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,"IC"
"2020-05-16",0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,5,"IC"
"2020-05-17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"IC"
"2020-05-18",0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,"IC"
"2020-05-19",0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,6,"IC"
"2020-05-20",0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,5,"IC"
"2020-05-21",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,"IC"
"2020-05-22",0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,5,"IC"
"2020-05-23",0,0,0,0,1,0,-1,0,0,0,3,0,0,0,0,0,3,"IC"
"2020-05-24",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"IC"
"2020-05-25",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,"IC"
