name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Tholen,VR19,GM0716,3043,3281,3124,2951,3029,3753,3015,2376,956,229
Tiel,VR08,GM0281,4141,5146,5187,5104,5824,6509,4920,3658,1393,277
Tilburg,VR20,GM0855,21011,24360,38861,28908,27587,29490,23363,17408,7496,1305
Tubbergen,VR05,GM0183,2061,3010,2612,2022,2556,3395,2809,1763,893,154
Twenterand,VR05,GM1700,3801,4687,3618,3843,4222,4936,4144,3089,1217,186
Tynaarlo,VR03,GM1730,3723,4057,2217,3305,4378,5397,4825,3752,1826,407
Tytsjerksteradiel,VR02,GM0737,3243,4004,3129,3336,3930,4700,4301,3553,1580,276
Uden,VR21,GM0856,4146,4886,4843,4835,5568,6109,5302,4249,1908,273
Uitgeest,VR12,GM0450,1438,1706,1608,1550,1796,2242,1614,1144,494,74
Uithoorn,VR13,GM0451,3079,3627,3079,3615,4013,4803,3180,2549,1298,235
Urk,VR25,GM0184,3957,3738,3244,2843,2241,2210,1428,931,378,61
Utrecht,VR09,GM0344,41820,36916,77907,64345,46760,38252,25889,16556,7614,1538
Utrechtse Heuvelrug,VR09,GM1581,5006,6147,3957,4617,6377,7892,6471,5525,2905,683
Vaals,VR24,GM0981,689,907,1158,915,1080,1682,1659,1312,584,119
Valkenburg aan de Geul,VR24,GM0994,1132,1463,1526,1471,1874,2760,2633,2210,1094,204
Valkenswaard,VR22,GM0858,2674,3157,3325,3347,3593,4892,4363,3705,1845,292
Veendam,VR01,GM0047,2538,3209,2747,2873,3623,4244,3760,2926,1228,236
Veenendaal,VR09,GM0345,8053,8590,8139,8494,8344,8811,7643,5571,2419,429
Veere,VR19,GM0717,2158,2369,2029,2020,2437,3275,3345,2841,1162,244
Veldhoven,VR22,GM0861,4480,5024,4618,5426,5920,6937,5988,4593,2187,293
Velsen,VR12,GM0453,6814,7828,7864,7581,8577,11277,8660,6285,3079,683
Venlo,VR23,GM0983,9359,10869,11858,12022,12688,15475,13917,10041,4740,833
